Name                                                                           Stmts   Miss   Cover   Missing
backend\knowledge_algorithms\l9\l9_ka_007_loop_controller.py                      28     28   0.00%   11-74
backend\knowledge_algorithms\l10\__init__.py                                      20     20   0.00%   5-45
backend\llm_gateway\__init__.py                                                    4      4   0.00%   7-11
backend\llm_gateway\api.py                                                       279    279   0.00%   8-631
backend\llm_gateway\gateway.py                                                   384    384   0.00%   14-788
backend\llm_gateway\schemas.py                                                    36     36   0.00%   1-46
backend\location_context_engine.py                                                 8      8   0.00%   1-18
backend\logging_config.py                                                         82     82   0.00%   7-169
backend\mcp_server\__init__.py                                                     0      0 100.00%
backend\mcp_server\registry.py                                                    36     36   0.00%   7-67
backend\mcp_server\router.py                                                      33     33   0.00%   7-81
backend\mcp_server\tools\__init__.py                                               2      2   0.00%   5-6
backend\mcp_server\tools\jira.py                                                  42     42   0.00%   6-104
backend\mcp_server\tools\salesforce.py                                            42     42   0.00%   6-105
backend\methods_api.py                                                           117    117   0.00%   9-268
backend\middleware\__init__.py                                                    86     86   0.00%   8-180
backend\middleware\correlation_id.py                                              50     50   0.00%   8-116
backend\middleware\etag.py                                                        23     23   0.00%   6-47
backend\middleware\input_sanitizer.py                                            123    123   0.00%   8-325
backend\middleware\request_limits.py                                              51     51   0.00%   10-171
backend\middleware\timeout.py                                                     66     66   0.00%   8-171
backend\persona_api.py                                                            66     66   0.00%   8-197
backend\pillar_api.py                                                            147    147   0.00%   9-251
backend\quad_persona\__init__.py                                                   0      0 100.00%
backend\quad_persona\quad_engine.py                                              106    106   0.00%   7-297
backend\regulatory_api.py                                                        166    105  36.75%   22-23, 29, 52-54, 67, 75, 83, 95-102, 111-113, 123-156, 169, 177, 188-190, 200-242, 252-287, 297-339, 349-385
backend\reports\__init__.py                                                        0      0 100.00%
backend\reports\compliance.py                                                     74     74   0.00%   6-145
backend\repositories\__init__.py                                                   1      1   0.00%   1
backend\repositories\node_repository.py                                           46     46   0.00%   1-78
backend\rest_api.py                                                              146    146   0.00%   9-254
backend\retention_service.py                                                     121    121   0.00%   13-294
backend\schemas\__init__.py                                                       80     80   0.00%   8-256
backend\schemas\request_schemas.py                                                27     27   0.00%   1-31
backend\schemas\simulation_schemas.py                                             66     66   0.00%   8-242
backend\search_service.py                                                         47     47   0.00%   7-202
backend\security\__init__.py                                                      18      9  50.00%   29-32, 46-49, 63-66
backend\security\active_defense.py                                                47     47   0.00%   1-101
backend\security\ai_guardrail.py                                                  35     35   0.00%   1-85
backend\security\api_security.py                                                 150    150   0.00%   14-431
backend\security\audit_logger.py                                                 221    156  29.41%   73-76, 86-88, 93-95, 136, 139, 142, 148, 151, 165-183, 190-200, 216, 240, 263, 288-296, 320, 351-415, 427-488, 502-511, 525-562
backend\security\compliance_manager.py                                           168    142  15.48%   42-61, 65-72, 76-79, 83-100, 104-116, 120-131, 135-146, 150-161, 165-176, 180-191, 202-225, 234-240, 264-297, 312-371
backend\security\context_aware.py                                                 40     40   0.00%   1-102
backend\security\data_classification.py                                          132    132   0.00%   14-409
backend\security\dpapi_store.py                                                   38     38   0.00%   1-58
backend\security\encryption_manager.py                                           166     68  59.04%   117-121, 129, 146, 153-158, 165, 208, 226-232, 246-259, 272-299, 312-316, 329-333, 342-347, 366-376, 404, 408-410, 414-416, 426-428
backend\security\honeypot.py                                                      14     14   0.00%   1-55
backend\security\mfa.py                                                          146    104  28.77%   41, 56-58, 75-92, 107-120, 133-144, 158-160, 173, 194-211, 225-231, 245-256, 270-277, 291-295, 308-311, 325-348, 363-398
backend\security\password_security.py                                            109    109   0.00%   11-223
backend\security\pii_redaction.py                                                 50     50   0.00%   7-112
backend\security\prompt_injection_shield.py                                       40     40   0.00%   7-114
backend\security\rbac.py                                                         175     88  49.71%   96, 100, 104, 108, 275, 289-301, 305-316, 320, 333-361, 365, 369, 379-385, 405-430, 434-435, 448-450, 463-479, 492-508, 521-537
backend\security\sanitizer.py                                                     63     63   0.00%   8-234
backend\security\security_headers.py                                              50     50   0.00%   8-181
backend\security\security_manager.py                                             169    135  20.12%   47-69, 73-96, 100-107, 111-114, 118-128, 132-164, 170, 178-215, 219-255, 267-283, 295-307, 320-340, 354-363, 375, 389-405, 414
backend\security\security_monitoring.py                                          198    198   0.00%   15-593
backend\security\session_manager.py                                              147    147   0.00%   11-344
backend\security\token_manager.py                                                147    147   0.00%   11-390
backend\security\vulnerability_scanner.py                                        142    142   0.00%   14-409
backend\security\zero_trust.py                                                   327    327   0.00%   21-796
backend\security_api.py                                                          106    106   0.00%   8-243
backend\security_scan_api.py                                                      79     79   0.00%   8-228
backend\seed_data.py                                                              86     86   0.00%   6-226
backend\services\__init__.py                                                       0      0 100.00%
backend\services\analytics_service.py                                             45     45   0.00%   1-92
backend\services\audio_service.py                                                 60     60   0.00%   6-118
backend\services\document_processor.py                                            83     83   0.00%   6-184
backend\services\file_upload_service.py                                          145     47  67.59%   76-81, 87-92, 98-103, 113, 116, 136, 172, 203, 219-221, 248-249, 266, 270-272, 287, 293-295, 308-316, 326-328
backend\services\rag_service.py                                                  201    201   0.00%   8-458
backend\services\video_service.py                                                 71     71   0.00%   6-146
backend\simulation\__init__.py                                                     0      0 100.00%
backend\simulation\simulation_engine.py                                          129    129   0.00%   8-298
backend\storage\__init__.py                                                        6      6   0.00%   12-41
backend\storage\connection_manager.py                                            210    210   0.00%   8-345
backend\storage\database_manager.py                                              112    112   0.00%   1-173
backend\storage\graph_store.py                                                    47     47   0.00%   1-77
backend\storage\object_store.py                                                  254    254   0.00%   9-515
backend\storage\vector_store.py                                                  182    182   0.00%   9-411
backend\time_api.py                                                              177    127  28.25%   36, 39-43, 49-53, 59, 73-75, 83-115, 128, 137-138, 164-167, 175-235, 243-272, 280-305, 313-351, 359-387
backend\tracing\__init__.py                                                        2      2   0.00%   7-33
backend\tracing\api.py                                                           287    287   0.00%   7-642
backend\tracing\logger.py                                                         45     45   0.00%   1-84
backend\truth_engine\__init__.py                                                   6      6   0.00%   11-17
backend\truth_engine\api.py                                                      261    261   0.00%   7-475
backend\truth_engine\federated_sync.py                                            43     43   0.00%   5-96
backend\truth_engine\truth_core\__init__.py                                        5      5   0.00%   11-16
backend\truth_engine\truth_core\agi_planner.py                                   109    109   0.00%   1-240
backend\truth_engine\truth_core\emergence_controller.py                          142    142   0.00%   9-339
backend\truth_engine\truth_core\engine.py                                        342    342   0.00%   11-653
backend\truth_engine\truth_core\l7_schemas.py                                     36     36   0.00%   1-46
backend\truth_engine\truth_core\l9_schemas.py                                     85     85   0.00%   8-157
backend\truth_engine\truth_core\l10_schemas.py                                    84     84   0.00%   7-136
backend\truth_engine\truth_core\meta_reasoning_controller.py                     269    269   0.00%   26-705
backend\truth_engine\truth_core\persona_sufficiency.py                            75     75   0.00%   1-167
backend\truth_engine\truth_core\personas.py                                       84     84   0.00%   7-246
backend\truth_engine\truth_core\refinement_orchestrator.py                        51     51   0.00%   1-129
backend\truth_engine\truth_core\router.py                                         51     51   0.00%   7-146
backend\truth_engine\truth_core\tiers.py                                          75     75   0.00%   7-203
backend\truth_engine\truth_gate\__init__.py                                        5      5   0.00%   11-16
backend\truth_engine\truth_gate\budget.py                                         98     98   0.00%   7-192
backend\truth_engine\truth_gate\compliance.py                                     80     80   0.00%   7-242
backend\truth_engine\truth_gate\gateway.py                                       114    114   0.00%   7-233
backend\truth_engine\truth_gate\l8_schemas.py                                     68     68   0.00%   8-124
backend\truth_engine\truth_gate\policies.py                                       61     61   0.00%   7-148
backend\truth_engine\truth_gate\quant.py                                          55     55   0.00%   1-94
backend\truth_engine\truth_gate\schemas.py                                        19     19   0.00%   1-24
backend\truth_engine\truth_gate\trust_validation_gateway.py                      200    200   0.00%   30-530
backend\truth_engine\truth_link\__init__.py                                        4      4   0.00%   11-15
backend\truth_engine\truth_link\blockchain_adapter.py                             63     63   0.00%   6-136
backend\truth_engine\truth_link\bus.py                                            96     96   0.00%   7-209
backend\truth_engine\truth_link\queues.py                                         66     66   0.00%   7-157
backend\truth_engine\truth_link\transport.py                                      77     77   0.00%   7-146
backend\truth_engine\truth_memory\__init__.py                                      5      5   0.00%   11-16
backend\truth_engine\truth_memory\audit.py                                        85     85   0.00%   7-187
backend\truth_engine\truth_memory\cache.py                                        88     88   0.00%   7-160
backend\truth_engine\truth_memory\manager.py                                      84     84   0.00%   7-203
backend\truth_engine\truth_memory\metrics.py                                      79     79   0.00%   7-195
backend\ukg_api.py                                                               176    176   0.00%   9-524
backend\ukg_db.py                                                                481    481   0.00%   1-1072
backend\unified_mapping_api.py                                                    81     81   0.00%   9-210
backend\utils\__init__.py                                                          5      5   0.00%   2-35
backend\utils\exceptions.py                                                       26     26   0.00%   6-55
backend\utils\pagination.py                                                       38     38   0.00%   7-139
backend\utils\responses.py                                                        39     39   0.00%   8-207
backend\utils\safe_path.py                                                         9      9   0.00%   1-21
backend\utils\validation.py                                                      138    138   0.00%   7-278
backend\websocket.py                                                              62     62   0.00%   10-138
models.py                                                                       1030    155  84.95%   62-70, 75-79, 107-112, 116-118, 122-124, 133-165, 173-187, 191-192, 196-199, 203, 218-222, 246, 311, 342-348, 353-357, 362-368, 373-377, 392, 437, 476, 521-527, 530-539, 542-550, 602-608, 613-618, 621, 716, 774, 834, 881, 909, 944, 991, 1029, 1060, 1093, 1252, 1286, 1322, 1380, 1435, 1480, 1526, 1577, 1631, 1676, 1722, 1767, 1804, 1836, 1863, 1887, 1917, 1943, 1974, 2003, 2027, 2055, 2091, 2130, 2165, 2195
-------------------------------------------------------------------------------------------------------------
TOTAL                                                                          19634  18045   8.09%
